brand,model,year,km,fuel_type,transmission,listed_price
Fiat,Fiat Panda 1.0 Hybrid Urban,2021,55000,Benzin,Manuel,740000
Volkswagen,Volkswagen Polo 1.0 Trendline,2016,73015,Benzin,Manuel,759000
Hyundai,Hyundai i30 1.4 CVVT Team,2010,180000,Benzin,Manuel,549000
Dacia,Dacia Sandero 1.5 dCi Stepway,2016,137350,Dizel,Manuel,835000
Volkswagen,Volkswagen Jetta 1.2 TSi Comfortline,2012,159000,Benzin,Manuel,964000
Hyundai,Hyundai i20 1.4 MPI Elite,2015,160000,Benzin,Manuel,1050000
BMW,BMW 3 Serisi 318d M Plus,2017,290000,Benzin,Manuel,1699000
Volkswagen,Volkswagen Polo 1.0 TSi Highline,2020,99000,Benzin,Manuel,1159000
Volkswagen,Volkswagen Golf 1.6 TDi BlueMotion Comfortline,2019,137000,Dizel,Manuel,1435000
Renault,Renault Megane 1.5 dCi Touch Plus,2015,181200,Dizel,Manuel,790000
Renault,Renault Clio 1.5 dCi Joy,2016,173400,Dizel,Manuel,745000
Honda,Honda Civic 1.6i VTEC Eco Executive,2017,102000,Benzin,Manuel,1579000
Renault,Renault Megane 1.5 dCi Touch,2019,177000,Dizel,Manuel,1249900
Seat,Seat Leon 1.2 TSI Style,2015,135740,Benzin,Manuel,975000
Volkswagen,Volkswagen Golf 1.4 TSi Allstar,2016,22000,Benzin,Manuel,1645000
Fiat,Fiat Punto 1.3 Multijet Pop,2014,110000,Dizel,Manuel,649900
Skoda,Skoda SuperB 1.6 TDI Prestige,2015,166000,Dizel,Manuel,1480000
Renault,Renault Megane 1.5 dCi Joy,2017,190000,Dizel,Manuel,915000
Hyundai,Hyundai i20 1.0 T-GDI Elite,2024,19000,Benzin,Manuel,1415000
Kia,Kia Picanto 1.1 Hiper,2011,117000,Benzin,Manuel,675000
Renault,Renault Megane 1.5 dCi Dynamique,2005,357000,Dizel,Manuel,365000
Renault,Renault Megane 1.5 dCi Extreme,2007,283000,Dizel,Manuel,365000
Volkswagen,Volkswagen Jetta 1.4 TSi BlueMotion Comfortline,2017,123000,Benzin,Manuel,1315000
Citroen,Citroen C-Elysée 1.6 BlueHDI Shine,2018,239000,Dizel,Manuel,668000
Renault,Renault Fluence 1.5 dCi Touch,2015,167500,Dizel,Manuel,835000
Opel,Opel Astra 1.6 CD,2000,295000,Benzin,Manuel,375000
Renault,Renault Clio 1.0 TCe Equilibre,2023,77000,Benzin,Manuel,1164900
Fiat,Fiat Egea 1.6 Multijet Easy,2020,188000,Dizel,Manuel,865000
Audi,Audi A3 Sedan 35 TFSI Sport,2019,115000,Benzin,Manuel,1915000
Kia,Kia Rio 1.5 CRDi EX Comfort,2006,230000,Dizel,Manuel,439000
Renault,Renault Clio 1.5 dCi Joy,2018,194500,Dizel,Manuel,760000
BMW,BMW 3 Serisi 320d Standart,2015,500000,Benzin,Manuel,1065000
Hyundai,Hyundai Atos 1.0 GLS,1999,219000,Benzin,Manuel,195000
Hyundai,Hyundai i30 1.6 GDi Elite,2014,89000,Benzin,Manuel,1100000
Seat,Seat Ibiza 1.4 Reference,2006,275000,Benzin,Manuel,360000
Mercedes,Mercedes - Benz C 200 d BlueTEC Exclusive,2015,154000,Dizel,Manuel,2045000
Volkswagen,Volkswagen Golf 1.2 TSi Comfortline,2013,186000,Benzin,Manuel,1039000
Hyundai,Hyundai i20 1.0 T-GDI Jump,2024,26500,Benzin,Manuel,1249000
Opel,Opel Corsa 1.2 Twinport Essentia,2014,179000,Benzin,Manuel,620000
Ford,Ford Focus 1.5 TDCi Titanium,2015,228000,Dizel,Manuel,1085000
Fiat,Fiat Egea 1.3 Multijet Easy,2022,146000,Dizel,Manuel,775000
Fiat,Fiat Egea 1.3 Multijet Easy,2016,295750,Dizel,Manuel,565750
BMW,BMW 5 Serisi 520i M Sport,2018,180000,Benzin,Manuel,2573000
Volkswagen,Volkswagen Golf 1.6 TDi BlueMotion Highline,2018,180000,Dizel,Manuel,1395000
Tesla,Tesla Model Y Performance,2025,24600,Benzin,Manuel,2947000
Volkswagen,Volkswagen Golf 1.6 TDi BlueMotion Highline,2015,189000,Dizel,Manuel,1295000
Citroen,Citroen C4 X 1.2 PureTech Shine Bold,2024,23729,Benzin,Manuel,1560000
Toyota,Toyota Corolla 1.5 Flame X-Pack,2022,51907,Dizel,Manuel,1565000
BMW,BMW 1 Serisi 116d M Plus,2016,133000,Benzin,Manuel,1480000
Renault,Renault Megane 1.3 TCe Joy Comfort,2022,55200,Dizel,Manuel,1415000
Volkswagen,Volkswagen Passat 1.5 TSi Elegance,2022,159000,Dizel,Manuel,2399000
BMW,BMW 1 Serisi 116i Joy Edition,2015,132000,Benzin,Manuel,1155000
Volkswagen,Volkswagen Polo 1.0 TSi Life,2024,23000,Benzin,Manuel,1479000
Mercedes,Mercedes - Benz E 180 Exclusive,2018,108000,Benzin,Manuel,2849500
Ford,Ford Focus 1.5 EcoBlue Titanium Stil,2023,40000,Dizel,Manuel,1765000
Toyota,Toyota Corolla 1.4 D-4D Touch,2016,192000,Dizel,Manuel,1045000
Audi,Audi A6 Sedan 2.0 TFSI Quattro,2017,183000,Benzin,Manuel,2575000
Ford,Ford Focus 1.6 TDCi Style,2012,293000,Dizel,Manuel,785000
BMW,BMW 5 Serisi 520i Standart,2004,334000,Benzin,Manuel,1000000
Peugeot,Peugeot 301 1.6 HDi Allure,2013,200000,Dizel,Manuel,640000
BMW,BMW 1 Serisi 116i M Sport,2013,175000,Benzin,Manuel,915000
Toyota,Toyota Corolla 1.4 D-4D Comfort,2011,194739,Dizel,Manuel,770000
Opel,Opel Corsa 1.3 CDTI Enjoy,2013,162000,Dizel,Manuel,679900
Chevrolet,Chevrolet Cruze 1.6 LS,2010,278000,Benzin,Manuel,470000
Renault,Renault Fluence 1.5 dCi Touch,2014,73000,Dizel,Manuel,1000000
Peugeot,Peugeot 508 1.6 e-HDi Access,2012,252400,Dizel,Manuel,718000
Opel,Opel Astra 1.6 Enjoy,2009,232000,Benzin,Manuel,570000
Audi,Audi A3 Sportback 1.6 TDI Ambition,2012,133000,Dizel,Manuel,1165000
Hyundai,Hyundai Accent 1.3 LX,2001,281000,Dizel,Manuel,325000
Renault,Renault Megane 1.5 dCi Dynamique,2005,289650,Dizel,Manuel,430000
Renault,Renault Megane 1.6 Dynamique,2004,250000,Dizel,Manuel,434000
Seat,Seat Leon 1.6 TDI CR Style,2012,194000,Dizel,Manuel,839000
Renault,Renault Megane 1.5 Blue DCI Touch,2022,224000,Dizel,Manuel,1330000
Fiat,Fiat Egea 1.3 Multijet Easy,2022,194000,Dizel,Manuel,795000
Seat,Seat Ibiza 1.0 EcoTSI Style,2021,94000,Benzin,Manuel,1160000
Fiat,Fiat Egea 1.3 Multijet Easy,2020,228000,Dizel,Manuel,715000
Opel,Opel Astra 1.6 Edition,2015,122000,Benzin,Manuel,795000
Fiat,Fiat Egea 1.3 Multijet Easy,2016,193000,Dizel,Manuel,705000
Toyota,Toyota Corolla 1.4 D-4D Premium,2014,202000,Dizel,Manuel,950000
Hyundai,Hyundai i20 1.4 MPI Elite,2020,28400,Benzin,Manuel,1320000
Mitsubishi,Mitsubishi Colt 1.3 Invite,2011,185000,Dizel,Manuel,600000
Renault,Renault R 19 1.4 Europa RL,1996,350000,Benzin,Manuel,187500
Citroen,Citroen C-Elysée 1.5 BlueHDI Feel,2023,105500,Dizel,Manuel,920000
Mercedes,Mercedes - Benz C 220 CDI Avantgarde,2008,273000,Benzin,Manuel,948000
Toyota,Toyota Corolla 1.4 D-4D Elegant,2011,363000,Dizel,Manuel,549850
Audi,Audi A3 Sportback 1.6 TDI Ambition,2016,162000,Dizel,Manuel,1402750
Renault,Renault Fluence 1.5 dCi Business,2012,185000,Dizel,Manuel,595000
Volkswagen,Volkswagen Passat 1.6 TDi BlueMotion Trendline,2017,207000,Dizel,Manuel,1279000
Renault,Renault Symbol 1.5 dCi Authentique,2012,225000,Dizel,Manuel,395000
Citroen,Citroen C4 X 1.2 PureTech Shine Bold,2023,30600,Benzin,Manuel,1599999
Mercedes,Mercedes - Benz C 200 d BlueTEC Exclusive,2017,204500,Dizel,Manuel,1900000
Audi,Audi A3 Sedan 35 TFSI Design,2020,89000,Benzin,Manuel,1915000
Mini,Mini Cooper 1.5 D Chili,2016,64000,Dizel,Manuel,1369000
Ford,Ford Focus 1.6 Ghia,2008,275000,Benzin,Manuel,445000
Opel,Opel Astra 1.6 CDTI Design,2018,140500,Dizel,Manuel,1050000
Volkswagen,Volkswagen Golf 1.6 TDi BlueMotion Comfortline,2018,102000,Dizel,Manuel,1615000
Opel,Opel Corsa 1.2 T Elegance,2023,30000,Benzin,Manuel,1250000
Nissan,Nissan Micra 1.2 Tekna,2005,125000,Benzin,Manuel,589500
Tofaş,Tofaş Şahin S,1998,195000,Benzin,Manuel,215000
Seat,Seat Leon 1.6 TDI Style,2017,124000,Dizel,Manuel,1335000
Ford,Ford Mondeo 1.5 Ecoboost Titanium,2016,175000,Dizel,Manuel,1315000
BMW,BMW 5 Serisi 520i Premium,2015,255000,Benzin,Manuel,1550000
Mercedes,Mercedes - Benz B 180 CDI BlueEFFICIENCY Style,2014,127000,Benzin,Manuel,1235000
Hyundai,Hyundai i20 1.4 MPI Jump,2022,60400,Benzin,Manuel,1135000
Volkswagen,Volkswagen Golf 1.6 TDi Highline,2015,204000,Dizel,Manuel,1295000
Audi,Audi A3 Sedan 1.6 TDI Ambiente,2014,172000,Dizel,Manuel,1400000
Fiat,Fiat 500 Ailesi 500L 1.3 Mjet Bi-Color,2013,145000,Dizel,Manuel,849950
Honda,Honda Civic 1.6i VTEC Elegance,2019,46000,Benzin,Manuel,1500000
Honda,Honda Civic 1.6i VTEC ES,2005,395000,Benzin,Manuel,570000
Dacia,Dacia Sandero 1.5 BlueDCI Stepway,2019,92000,Dizel,Otomatik,895000
Renault,Renault Megane 1.5 Blue DCI Icon,2025,18000,Dizel,Manuel,2015000
Renault,Renault Clio 1.0 SCe Joy,2023,60900,Benzin,Manuel,870000
Renault,Renault Megane 1.3 TCe Joy,2022,47000,Dizel,Manuel,1275000
BMW,BMW 5 Serisi 520i Premium,2014,210800,Benzin,Manuel,1900000
Volkswagen,Volkswagen Polo 1.6 TDi Comfortline,2010,250000,Dizel,Manuel,585500
Alfa,Alfa Romeo 156 2.0 TS Executive,2002,341000,Benzin,Manuel,259000
Volkswagen,Volkswagen Polo 1.4 TDi Comfortline,2015,184000,Dizel,Manuel,828000
Mercedes,Mercedes - Benz E 250 BlueTEC EditionE,2015,325000,Benzin,Manuel,2410000
Renault,Renault Taliant 1.0 T Joy,2021,86000,Benzin,Manuel,919000
Volkswagen,Volkswagen Golf 1.5 eTSI Style,2024,28000,Dizel,Manuel,2525000
Renault,Renault Clio 1.5 dCi Joy,2016,245000,Dizel,Manuel,615000
Audi,Audi A4 Sedan 2.0 TDI,2012,290000,Dizel,Manuel,1290000
Citroen,Citroen C-Elysée 1.6 HDi Live,2017,228000,Dizel,Manuel,665000
Toyota,Toyota Corolla 1.5 Dream,2024,68000,Dizel,Manuel,1580000
Ford,Ford Focus 1.6 Comfort,2004,285000,Benzin,Manuel,469000
Renault,Renault Megane 1.5 dCi Icon,2018,191000,Dizel,Manuel,1135000
Volkswagen,Volkswagen Golf 1.6 TDi BlueMotion Highline,2016,194000,Dizel,Manuel,1330000
BMW,BMW 5 Serisi 520i M Sport,2014,193000,Benzin,Manuel,1485000
Opel,Opel Astra 1.4 T Enjoy,2016,138000,Benzin,Manuel,970000
Ford,Ford Fiesta 1.4 TDCi Titanium,2011,258000,Dizel,Manuel,595000
Toyota,Toyota Auris 1.33 Life,2015,157000,Dizel,Manuel,867000
Hyundai,Hyundai i20 1.4 MPI Jump,2022,72000,Benzin,Manuel,1125000
Fiat,Fiat Albea 1.2 EL,2004,214000,Benzin,Manuel,345000
Volkswagen,Volkswagen Golf 1.4 TSi Comfortline,2018,130000,Benzin,Manuel,1398000
Volkswagen,Volkswagen Polo 1.0 TSi Comfortline,2018,69000,Benzin,Manuel,1185000
Renault,Renault Clio 1.0 TCe Evolution,2023,57500,Benzin,Manuel,1108500
Audi,Audi A6 Sedan 1.9 TDI,2004,480000,Dizel,Manuel,375000
Renault,Renault Clio 1.2 Joy,2013,85000,Benzin,Manuel,719000
Toyota,Toyota Corolla 1.8 Hybrid Dream,2021,82000,Benzin,Manuel,1483000
Opel,Opel Astra 1.4 T Dynamic,2016,188900,Benzin,Manuel,1065000
Volkswagen,Volkswagen Golf 1.6 TDi BlueMotion Highline,2013,258000,Dizel,Manuel,825000
Volkswagen,Volkswagen Polo 1.4 Comfortline,2010,180000,Benzin,Manuel,790000
Citroen,Citroen C-Elysée 1.6 HDi Exclusive,2014,125000,Dizel,Manuel,798500
Hyundai,Hyundai Accent 1.6 Admire,2005,367000,Benzin,Manuel,370000
Renault,Renault Fluence 1.5 dCi Touch Plus,2013,225000,Dizel,Manuel,725000
Hyundai,Hyundai i20 1.4 CVVT Jump,2014,117000,Benzin,Manuel,765000
Renault,Renault R 12 TS,1974,257000,Benzin,Manuel,60000
Dacia,Dacia Sandero 1.5 dCi Stepway,2016,99000,Dizel,Manuel,900000
Fiat,Fiat Linea 1.3 Multijet Active,2008,370000,Dizel,Manuel,295000
Renault,Renault Fluence 1.5 dCi Business,2012,373000,Dizel,Manuel,460000
Renault,Renault Megane 1.5 Blue DCI Touch,2023,62000,Dizel,Manuel,1657000
BMW,BMW 4 Serisi 420d xDrive Gran Coupe M Sport,2015,233000,Benzin,Manuel,1999900
Mercedes,Mercedes - Benz A 200 AMG,2022,70000,Benzin,Manuel,2562900
Hyundai,Hyundai Accent Era 1.5 CRDi-VGT Team,2010,253000,Dizel,Manuel,510000
Honda,Honda Civic 1.5 i-VTEC Executive Plus,2023,45510,Dizel,Manuel,1999000
Renault,Renault Megane 1.5 dCi Joy,2018,240000,Dizel,Manuel,915000
Fiat,Fiat Albea Sole 1.4 Fire Dynamic,2008,269000,Benzin,Manuel,315000
Renault,Renault Clio 1.0 TCe Joy,2022,70000,Benzin,Manuel,1039000
Ford,Ford Fiesta 1.4 TDCi Comfort,2006,290000,Dizel,Manuel,322000
Citroen,Citroen C-Elysée 1.5 BlueHDI Feel,2021,125000,Dizel,Manuel,870000
Audi,Audi A3 Sedan 35 TFSI Design,2020,51950,Benzin,Manuel,2015000
Toyota,Toyota Corolla 1.5 Dream,2022,49000,Dizel,Manuel,1529000
Tofaş,Tofaş Doğan SLX,1994,148000,Benzin,Manuel,210000
Skoda,Skoda Octavia 1.5 e-Tec Premium,2023,86100,Dizel,Manuel,1890000
Hyundai,Hyundai Accent Blue 1.6 CRDI Mode Plus,2016,226000,Dizel,Manuel,698000
Fiat,Fiat Egea 1.3 Multijet Easy,2022,119000,Dizel,Manuel,825000
Seat,Seat Leon 1.4 TSI FR,2013,220000,Benzin,Manuel,945000
Renault,Renault R 12 Toros,2000,180000,Benzin,Manuel,330000
Opel,Opel Astra 1.3 CDTI Edition,2012,243600,Dizel,Manuel,695000
Peugeot,Peugeot 307 1.6 XR,2003,199000,Benzin,Manuel,415000
Opel,Opel Corsa 1.4 Twinport Essentia,2013,217000,Benzin,Manuel,750000
Renault,Renault Megane 1.5 Blue DCI Touch,2020,190000,Dizel,Manuel,1275000
Volkswagen,Volkswagen Golf 1.0 TSi Impression,2022,46000,Benzin,Manuel,1395000
Volkswagen,Volkswagen Golf 1.2 TSi Midline Plus,2013,140000,Benzin,Manuel,1025000
Volkswagen,Volkswagen Golf 1.6 TDi BlueMotion Comfortline,2018,210000,Dizel,Manuel,1200000
Volkswagen,Volkswagen Golf 1.2 TSi Comfortline,2016,106000,Benzin,Manuel,1265000
Fiat,Fiat Linea 1.3 Multijet Emotion Plus,2012,268000,Dizel,Manuel,445000
Opel,Opel Astra 1.4 T Edition Plus,2020,71000,Benzin,Manuel,1195000
Nissan,Nissan Note 1.4 Visia,2009,114170,Benzin,Manuel,650000
Seat,Seat Ibiza 1.4 TDI Style,2016,105000,Dizel,Manuel,1069000
Mercedes,Mercedes - Benz C 180 Kompressor BlueEfficiency AMG,2011,73126,Benzin,Manuel,1379750
Renault,Renault Megane 1.6 dCi GT-Line,2016,196000,Dizel,Manuel,950000
Toyota,Toyota Corolla 1.4 D-4D Advance,2013,178000,Dizel,Manuel,949750
Renault,Renault Clio 1.2 Joy,2017,77000,Benzin,Manuel,779999
Opel,Opel Corsa 1.2 Edition,2024,25000,Benzin,Manuel,1050000
Kia,Kia Rio 1.4 CRDi Sporty,2012,244000,Dizel,Manuel,549000
Opel,Opel Astra 1.4 T Enjoy Active,2013,164000,Benzin,Manuel,895000
Renault,Renault Fluence 1.5 dCi Touch,2014,195000,Dizel,Manuel,755000
Hyundai,Hyundai Accent Blue 1.6 CRDI Mode Plus,2014,257000,Dizel,Manuel,635000
Mercedes,Mercedes - Benz CLA 200 AMG,2013,131600,Benzin,Manuel,1845000
Mercedes,Mercedes - Benz C 200 D Exclusive,2021,134500,Dizel,Manuel,2895000
Mercedes,Mercedes - Benz C 200 D AMG,2016,147000,Dizel,Manuel,2165000
Opel,Opel Astra 1.3 CDTI Cosmo,2012,250000,Dizel,Manuel,639000
Hyundai,Hyundai i20 Active 1.4 MPi Elite Smart,2019,61500,Benzin,Manuel,1165000
Hyundai,Hyundai i20 1.4 CRDi Style,2015,50600,Dizel,Manuel,1125000
BMW,BMW 3 Serisi 320d Edition Comfort,2011,298000,Benzin,Manuel,875000
Citroen,Citroen e-C4 X Shine Bold,2024,45000,Benzin,Manuel,1700000
Peugeot,Peugeot 207 1.4 HDi Trendy,2011,260000,Dizel,Manuel,485000
Opel,Opel Astra 1.3 CDTI Enjoy,2008,309000,Dizel,Manuel,475000
Volkswagen,Volkswagen Golf 1.4 TSi Comfortline,2011,170000,Benzin,Manuel,715000
Fiat,Fiat Punto 1.3 Multijet Easy,2013,309000,Dizel,Manuel,450000
Audi,Audi A3 Sedan 35 TFSI Advanced,2021,197500,Benzin,Manuel,1649000
Fiat,Fiat Linea 1.3 Multijet Active Plus,2015,237000,Dizel,Manuel,470000
Hyundai,Hyundai Accent Era 1.5 CRDi-VGT Start,2011,218000,Dizel,Manuel,585000
Toyota,Toyota Corolla 1.5 Dream X-Pack,2025,8000,Dizel,Manuel,1900000
Renault,Renault Fluence 1.5 dCi Touch,2016,232000,Dizel,Manuel,835000
Renault,Renault Megane 1.5 Blue DCI Touch,2022,89000,Dizel,Manuel,1519000
Ford,Ford Focus 1.5 EcoBlue Titanium Stil,2023,50000,Dizel,Manuel,1709000
Renault,Renault Megane 1.3 TCe Touch,2023,9800,Dizel,Manuel,1509800
Fiat,Fiat Egea 1.3 Multijet Easy,2016,283000,Dizel,Manuel,545000
Audi,Audi A3 Sportback 1.6 TDI Attraction,2015,128000,Dizel,Manuel,1335000
BMW,BMW 3 Serisi 320i Edition M Sport,2023,85000,Benzin,Manuel,3629000
Renault,Renault R 12 Toros,1993,93000,Benzin,Manuel,142500
Tofaş,Tofaş Şahin 1.4 ie,2001,250000,Benzin,Manuel,180000
Renault,Renault Clio 1.0 TCe Techno Esprit Alpine,2024,47800,Benzin,Manuel,1445000
Fiat,Fiat Egea 1.3 Multijet Easy Plus,2022,89000,Dizel,Manuel,985000
Ford,Ford Focus 1.6 Ambiente,2001,355000,Benzin,Manuel,455000
Peugeot,Peugeot 307 1.4 Look,2005,291000,Benzin,Manuel,350000
Renault,Renault Megane 1.5 dCi Touch,2017,220000,Dizel,Manuel,948000
Renault,Renault Clio 1.5 dCi Joy,2017,312000,Dizel,Manuel,545000
Peugeot,Peugeot 208 1.5 BlueHDi Signature,2020,151000,Dizel,Manuel,819000
Hyundai,Hyundai Getz 1.3 GLS,2004,271000,Dizel,Manuel,510000
Peugeot,Peugeot 207 1.4 HDi Active,2012,201000,Dizel,Manuel,555000
Ford,Ford Focus 1.6 TDCi Titanium,2017,250000,Dizel,Manuel,985000
Mercedes,Mercedes - Benz B 150 Prestige,2007,174000,Benzin,Manuel,740000
Ford,Ford Focus 1.6 TDCi Titanium X,2011,215000,Dizel,Manuel,650000
Renault,Renault Megane 1.5 dCi Touch,2018,220000,Dizel,Manuel,1115000
Toyota,Toyota Corolla 1.6 Dream,2020,70000,Dizel,Manuel,1385000
Ford,Ford Focus 1.6 Ti-VCT Trend X,2015,130000,Benzin,Manuel,1079000
Volkswagen,Volkswagen Golf 1.6 TDi Highline,2012,206000,Dizel,Manuel,690000
Seat,Seat Ibiza 1.2 TSI Reference Plus,2017,106000,Benzin,Manuel,845000
Fiat,Fiat Egea 1.3 Multijet Easy,2022,204000,Dizel,Manuel,789000
Skoda,Skoda SuperB 1.6 TDI Prestige,2014,245000,Dizel,Manuel,927500
Ford,Ford Focus 1.6 Ambiente,2002,300000,Benzin,Manuel,339750
Opel,Opel Corsa 1.4 Design,2017,87000,Benzin,Manuel,669000
Kia,Kia Rio 1.25 CVVT Fancy,2012,300000,Benzin,Manuel,414000
Ford,Ford Fiesta 1.4 TDCi Titanium,2011,260000,Dizel,Manuel,460000
Kia,Kia Rio 1.4 CVVT Comfort,2017,99000,Benzin,Manuel,855001
Volkswagen,Volkswagen Polo 1.6 TDi Comfortline,2011,255000,Dizel,Manuel,729900
Volkswagen,Volkswagen Passat 1.5 TSi Business,2022,60000,Dizel,Manuel,2145000
Opel,Opel Astra 1.6 Edition,2013,157000,Benzin,Manuel,732500
Honda,Honda Civic 1.6i VTEC Premium,2012,173300,Benzin,Manuel,968000
Volkswagen,Volkswagen Golf 1.4 TSi Comfortline,2013,140000,Benzin,Manuel,1245000
Fiat,Fiat Egea 1.3 Multijet Easy Plus,2018,190000,Dizel,Manuel,732000
Citroen,Citroen C3 1.2 PureTech Feel Bold,2024,58000,Benzin,Manuel,1075000
Mercedes,Mercedes - Benz E 350 CGI AMG,2018,95000,Benzin,Manuel,4450000
Fiat,Fiat Egea 1.4 Fire Easy,2020,46128,Benzin,Manuel,810000
Honda,Honda Civic 1.5 i-VTEC Eco Elegance,2023,99000,Dizel,Manuel,1825000
Cupra,Cupra Leon 1.5 eTSI Standart,2023,9000,Dizel,Manuel,2235000
Audi,Audi A3 Sedan 1.4 TFSI Attraction,2013,188000,Benzin,Manuel,1299000
Audi,Audi A4 Sedan 2.0 TDI,2012,336000,Dizel,Manuel,1200000
Volkswagen,Volkswagen Golf 1.0 TSi Comfortline,2018,86000,Benzin,Manuel,1565000
Audi,Audi A3 Sportback 35 TFSI S-Line,2021,145000,Benzin,Manuel,2165000
Audi,Audi A3 Sedan 35 TFSI Advanced,2022,49000,Benzin,Manuel,2258000
Renault,Renault Megane 1.2 TCe Icon,2017,85000,Benzin,Manuel,1279000
Skoda,Skoda Fabia 1.4 TDI Ambiente,2008,337000,Dizel,Manuel,490000
Lada,Lada Vega 1.6,2005,250000,Benzin,Manuel,200000
Opel,Opel Astra 1.4 T Sport,2015,100000,Benzin,Manuel,829000
Mercedes,Mercedes - Benz C 180 BlueEFFICIENCY Avantgarde,2011,165000,Benzin,Manuel,1220000
Fiat,Fiat Siena 1.2 EL,2002,318000,Benzin,Manuel,310000
Chevrolet,Chevrolet Cruze 1.6 LS,2010,150000,Benzin,Manuel,739000
Opel,Opel Corsa 1.2 Essentia,2015,159000,Benzin,Manuel,739000
BMW,BMW 3 Serisi 320i ED 40th Year Edition,2015,248000,Benzin,Manuel,1730000
Ford,Ford C-Max 1.6 Trend,2011,249000,Benzin,Manuel,675000
Peugeot,Peugeot 308 1.2 PureTech Allure,2015,118000,Benzin,Manuel,995000
Skoda,Skoda SuperB 1.5 TSI Elite,2022,78000,Dizel,Manuel,2200000
Renault,Renault Symbol 1.4 Authentique,2008,255000,Benzin,Manuel,380000
BMW,BMW 5 Serisi 520i Premium,2015,200000,Benzin,Manuel,1565000
Seat,Seat Leon 1.6 TDI Xcellence,2019,99000,Dizel,Manuel,1590000
Peugeot,Peugeot 301 1.6 HDi Active,2015,199000,Dizel,Manuel,660000
Audi,Audi A5 Sportback 2.0 TDI,2010,396000,Dizel,Manuel,1200000
Renault,Renault Clio 1.0 TCe Joy,2022,115000,Benzin,Manuel,985000
Fiat,Fiat Egea 1.3 Multijet Easy,2020,197000,Dizel,Manuel,710000
Mercedes,Mercedes - Benz CLA 180 D AMG,2018,217000,Dizel,Manuel,1790000
Fiat,Fiat Punto 1.3 Multijet Lounge,2012,213000,Dizel,Manuel,550000
Chevrolet,Chevrolet Kalos 1.2 SE,2005,273000,Benzin,Manuel,255000
Ford,Ford Focus 1.6 TDCi Titanium,2013,215000,Dizel,Manuel,900000
Mercedes,Mercedes - Benz E 200 Kompressor Elegance,2003,370000,Benzin,Manuel,1195000
BMW,BMW 3 Serisi 316i Standart,2010,164000,Benzin,Manuel,890000
Volkswagen,Volkswagen Golf 1.6 TDi BlueMotion Comfortline,2018,224000,Dizel,Manuel,1025000
Ford,Ford Focus 1.6 TDCi Trend X,2013,226000,Dizel,Manuel,865000
Hyundai,Hyundai Accent Blue 1.6 CRDI Prime,2016,285000,Dizel,Manuel,725000
Audi,Audi A3 Sportback 1.6 Attraction,2008,220000,Benzin,Manuel,633000
Opel,Opel Astra 1.6 Essentia,2013,148522,Benzin,Manuel,765000
